indicator_id,indicator_name,indicator_domain,indicator_type,numerator,denominator,frequency,target_direction,target_value,interpretation_note
M01,Analysis eligibility rate,Data quality,Process,Visits eligible for primary analysis,Deduplicated visits with valid visit dates,Quarterly,>=,0.60,Low values point to missing domains invalid dates unknown provider type missing geography or invalid dose values.
M02,Complete compliance-domain documentation rate,Data quality,Process,Visits with all five compliance domains present,Deduplicated visits with valid visit dates,Quarterly,>=,0.90,Used to judge whether the compliance dataset is complete enough for routine monitoring.
M03,Overall non-compliance rate,Program outcome,Outcome,Analysis-ready visits with one or more non-compliant domains,Analysis-ready visits,Quarterly,<=,0.45,Primary program outcome; should be interpreted with domain-specific and provider-type results.
M04,Documentation non-compliance rate,Program outcome,Outcome,Analysis-ready visits non-compliant for documentation,Analysis-ready visits,Quarterly,<=,0.15,Documentation is often an early signal of training or record-management gaps.
M05,Inventory non-compliance rate,Program outcome,Outcome,Analysis-ready visits non-compliant for inventory,Analysis-ready visits,Quarterly,<=,0.15,Inventory problems may affect vaccine accountability and follow-up workload.
M06,Storage and handling non-compliance rate,Program outcome,Outcome,Analysis-ready visits non-compliant for storage/handling,Analysis-ready visits,Quarterly,<=,0.15,Storage and handling is programmatically important because it can affect vaccine viability.
M07,Technical assistance coverage among high-risk visits,Program implementation,Output,High-risk visits with prior technical assistance,High-risk analysis-ready visits,Quarterly,>=,0.80,Measures whether support is reaching visits/providers with risk flags.
M08,Follow-up observed within 365 days after non-compliance,Program implementation,Outcome,Non-compliant visits followed by another observed visit within 365 days,Non-compliant visits with any later observation possible,Quarterly,>=,0.70,Uses observed repeat visits as a proxy for follow-up in this synthetic dataset.
M09,Median site-visit delay,Program operations,Process,Median delay days,Analysis-ready visits,Quarterly,<=,30,Used to monitor timeliness of site-visit completion.
M10,High-risk provider TA coverage,Equity and targeting,Output,High-risk providers with any technical assistance,High-risk providers,Quarterly,>=,0.80,Provider-level view of whether TA is reaching providers with repeated or severe risk flags.
